Id,Name,Address1,City,PostalCode,Latitude,Longitude,StateCode,CountryCode,Distance,HideOnDirectory
6465619340,SEAPORT ANIMAL HOSPITAL,80 BEEKMAN ST FRNT 3,NEW YORK,10038,40.712784,-74.00594,NY,US,0.036758307,False
8455343644,MAIN STREET VETERINARY CLINIC,350 HUDSON ST,CORNWALL ON HDSN,12520,40.712784,-74.00594,NY,US,0.036758307,False
2122803700,HEART OF HARLEM VETERINARY CLINIC,2143 ADAM CLAYTON POWELL JR BLVD FRNT 2,NEW YORK,10027,40.712784,-74.00594,NY,US,0.036758307,False
5184213328,OTTO'S MOBILE VET,4 RIT VAN COURT,BALLOSTAN SPA,12020,40.712784,-74.00594,NY,US,0.036758307,False
4734352900,ST.GEORGE UNIVERSITY VET HOSPITAL,TRUE BLUE,ST.GEORGE'S GRENADA,GRENADA,40.712784,-74.00594,GRENADA,US,0.036758307,False
9146938900,NATURAL VET FOR PETS,585 WARBURTON AVE,HASTING-ON -HUDSON,10706,40.712784,-74.00594,NY,US,0.036758307,False
2127347480,CENTER FOR VETERINARY CARE,236 E 75TH ST FRNT 2,NEW YORK,10021,40.712784,-74.00594,NY,US,0.036758307,False
5852435660,YORK ANIMAL HOSPITAL,275 MAIN ST,YORK,14592,40.712784,-74.00594,NY,US,0.036758307,False
3154471255,STACK VET,16 OLDFARMS LANE,CAZENOBIA,13035,40.712784,-74.00594,NY,US,0.036758307,False
6462885356,RELIEF VET,"413 E. 69TH ST., RARC RM E-700",NEW YORK,10065,40.712784,-74.00594,NY,US,0.036758307,False
8005913071,HOME VETS NYC,PO BOX 2314,NEW YORK,10101,40.712784,-74.00594,NY,US,0.036758307,False
6073427977,NY LICENSE # 012412,478 BROKLYNDALE,BROKLYNDALE,04817,40.712784,-74.00594,NY,US,0.036758307,False
2127212287,MANHATTAN CAT SPECIALISTS,230 W 76TH ST FRNT 1,NEW YORK,10023,40.712784,-74.00594,NY,US,0.036758307,False
5187451177,FOR PET'S SAKE VETERINARY CENTER,500 GLEN ST,GLEN FALLS,12801,40.712784,-74.00594,NY,US,0.036758307,False
2123693962,A A ANIMAL EMERGENCY HOTLINE,1676 1ST AVE FRNT FL1,NEW YORK,10128,40.712784,-74.00594,NY,US,0.036758307,False
8455944607,DR SNYDER TRAVELING VET,154 MOONHAW RD,WEST SHOKAN,12494,40.712784,-74.00594,NY,US,0.036758307,False
9175151027,ANA SUAREZ,31 WHALEN COURT,BERWOOD,11717,40.712784,-74.00594,NY,US,0.036758307,False
5169673211,MICHAEL WEINGARTEN,15 WEST MPMM ST,LONGBEACH,11561,40.712784,-74.00594,NY,US,0.036758307,False
6312385171,DR. MOLLY VETERINARY HOME VET,31 SOUTH BERNCROSS PL,MONTAG,11954,40.712784,-74.00594,NY,US,0.036758307,False
2123740650,SEAPORT ANIMAL HOSPITAL,80 BEEKMAN ST,NY,10038,40.708775,-74.00392,NY,US,0.29921457,False
9173195967,MOBILE VETERINARIAN,55 LIBERTY ST,NEW YORK,10005,40.708805,-74.00941,NY,US,0.30062208,False
6462148186,"WATER4DOGS, INC",77 WORTH ST,NEW YORK,10013,40.716908,-74.00556,NY,US,0.30251113,False
2122576900,WORTH STREET VETERINARY CENTER,77 WORTH ST FL 1,NEW YORK,10013,40.716908,-74.00556,NY,US,0.30251113,False
2124060970,PETMENDERS ANIMAL HOSPITAL,158 DUANE ST,NEW YORK,10013,40.716652,-74.00879,NY,US,0.3025478,False
2122741700,READE STREET ANIMAL HOSPITAL,146 READE ST FRNT A,NEW YORK,10013,40.716717,-74.01,NY,US,0.33563942,False
2129256100,SOHO-TRIBECA ANIMAL HOSPITAL,5 LISPENARD ST,NEW YORK,10013,40.720634,-74.0048,NY,US,0.56311953,False
6465619478,TRIBECA SOHO ANIMAL HOSPITAL,5 LISPENARD ST FRNT A,NEW YORK,10013,40.720646,-74.0048,NY,US,0.563792,False
2127864444,BATTERY PARK VETERINARY HOSPITAL,21 S END AVE,NEW YORK,10280,40.70818,-74.01782,NY,US,0.6624075,False
6465619225,BATTERY PARK VETERINARY HOSPITAL,21 S END AVE,NEW YORK,10280,40.708183,-74.01782,NY,US,0.6624586,False
9177576311,MOBILE VET,79 LAIGHT ST,NY,10013,40.72208,-74.0111,NY,US,0.6962719,False
2127327474,TRIBECA VETERINARY WELLNESS,256 WEST STREET,NEW YORK,10013,40.722477,-74.01133,NY,US,0.7260246,False
9176917671,EAST MEETS WEST VETERINARY,,NEW YOUK,10012,40.724323,-73.996124,NY,US,0.978338,False
9177414737,THE VET SET,175 VARICK ST,NY,10014,40.72742,-74.00596,NY,US,1.0246692,False
7187976875,VINEGAR HILL VETERINARY GROUP,57 FRONT ST STE A,BROOKLYN,11201,40.702736,-73.99127,NY,US,1.0532187,False
7186241200,BROOKLYN HEIGHTS VETERINARY HOSPITAL,59 HICKS ST,BROOKLYN,11201,40.699894,-73.99349,NY,US,1.1144874,False
